r,t,y,CapitalInvestment
REGION,BENSOLPRP00X,2016,7.128
REGION,BENSOLPRP00X,2033,9.949814789584035
REGION,BENSOLPRP00X,2034,9.77999364484724
REGION,BENSOLPRP00X,2035,15.01021436940729
REGION,BENSOLPRP00X,2036,15.498044760122498
REGION,BENSOLPRP00X,2037,11.312379370734297
REGION,BENSOLPRP00X,2038,11.105473989924798
REGION,BENSOLPRP00X,2039,10.898614175077185
REGION,BENSOLPRP00X,2040,10.630238485502177
REGION,BENSOLPRSAL1,2040,0.0
REGION,BENSOLPRSAL2,2040,0.0
REGION,BENSOLPRSAL3,2040,0.0
REGION,BENSOLPRSAL4,2040,0.0
REGION,BENSOLPRSAL5,2040,0.0
REGION,BENSOLPSP00X,2026,63.48660996911648
REGION,BENSOLPSP00X,2027,65.71835748799309
REGION,BENSOLPSP00X,2028,78.53936932330842
REGION,BENSOLPSP00X,2029,59.05537698816336
REGION,BENSOLPSP00X,2030,132.91867352445533
REGION,BENSOLPSP00X,2040,0.0
REGION,BENSOLPUP00X,2040,0.0
REGION,BENURNIMP00X,2040,0.0
REGION,BENURNPRP00X,2040,0.0
REGION,BENURNPWP01N,2040,0.0
REGION,BENURNPWP01O,2040,0.0
REGION,BENWINMGRID1,2040,0.0
REGION,BENWINOFP00X,2040,0.0
REGION,BENWINONP00X,2040,0.0
REGION,BENWINPRP00X,2040,0.0
REGION,BFABACKSTOP,2040,0.0
REGION,BFABIOCHC01N,2040,0.0
REGION,BFABIOCHP01N,2040,2.0522956667593215
REGION,BFABIOCHP01O,2040,0.0
REGION,BFABIODIP00X,2040,0.0
REGION,BFABIOIMP00X,2040,0.0
REGION,BFABIOPRP00X,2040,0.0
REGION,BFACO1DIP00X,2040,0.0
REGION,BFACO1IMP00X,2040,0.0
REGION,BFACO1PRP00X,2040,0.0
REGION,BFACO1R1P00X,2040,0.0
REGION,BFACO1R2P00X,2040,0.0
REGION,BFACO1RCP00X,2040,0.0
REGION,BFACOADIP00X,2040,0.0
REGION,BFACOAIMP00X,2040,0.0
REGION,BFACOAPRP00X,2040,0.0
REGION,BFACOASCC01N,2040,0.0
REGION,BFACOASCP01N,2040,0.0
REGION,BFACOASCP01O,2040,0.0
REGION,BFAEL1TRP00X,2016,6.708327118988483
REGION,BFAEL1TRP00X,2017,5.425617965000256
REGION,BFAEL1TRP00X,2022,7.338434608259898
REGION,BFAEL1TRP00X,2023,13.519244642634035
REGION,BFAEL1TRP00X,2024,13.227633021730444
REGION,BFAEL1TRP00X,2025,18.31734730999116
REGION,BFAEL1TRP00X,2027,5.6991387485121106
REGION,BFAEL1TRP00X,2028,9.075305221328223
REGION,BFAEL1TRP00X,2029,9.075592691489708
REGION,BFAEL1TRP00X,2031,4.970789772470148
REGION,BFAEL1TRP00X,2032,9.235407710880242
REGION,BFAEL1TRP00X,2033,9.033985809427964
REGION,BFAEL1TRP00X,2034,9.387206857860114
REGION,BFAEL1TRP00X,2035,10.526082188642757
REGION,BFAEL1TRP00X,2036,10.685478877366211
REGION,BFAEL1TRP00X,2037,10.858720563635607
REGION,BFAEL1TRP00X,2038,11.043361001185703
REGION,BFAEL1TRP00X,2039,11.234849794789538
REGION,BFAEL1TRP00X,2040,5.318291042215014
REGION,BFAEL2DIP00X,2016,43.68499502942093
REGION,BFAEL2DIP00X,2017,35.33192148221673
REGION,BFAEL2DIP00X,2033,33.14682784780144
REGION,BFAEL2DIP00X,2034,34.32640987981896
REGION,BFAEL2DIP00X,2035,40.57328505652588
REGION,BFAEL2DIP00X,2036,40.39067307951414
REGION,BFAEL2DIP00X,2037,40.24492046628035
REGION,BFAEL2DIP00X,2038,40.11776810799263
REGION,BFAEL2DIP00X,2039,39.97715272706765
REGION,BFAEL2DIP00X,2040,0.0
REGION,BFAEL3DIP00X,2021,92.5034534936121
REGION,BFAEL3DIP00X,2022,92.28630923658446
