r,t,y,CapitalInvestment
REGION,BENSOLPUP00X,2040,0.0
REGION,BENURNIMP00X,2040,0.0
REGION,BENURNPRP00X,2040,0.0
REGION,BENURNPWP01N,2040,0.0
REGION,BENURNPWP01O,2040,0.0
REGION,BENWINMGRID1,2040,0.0
REGION,BENWINOFP00X,2040,0.0
REGION,BENWINONP00X,2040,0.0
REGION,BENWINPRP00X,2040,0.0
REGION,BFABACKSTOP,2040,0.0
REGION,BFABIOCHC01N,2040,0.0
REGION,BFABIOCHP01N,2040,0.0
REGION,BFABIOCHP01O,2040,0.0
REGION,BFABIODIP00X,2040,0.0
REGION,BFABIOIMP00X,2040,0.0
REGION,BFABIOPRP00X,2040,0.0
REGION,BFACO1DIP00X,2040,0.0
REGION,BFACO1IMP00X,2040,0.0
REGION,BFACO1PRP00X,2040,0.0
REGION,BFACO1R1P00X,2040,0.0
REGION,BFACO1R2P00X,2040,0.0
REGION,BFACO1RCP00X,2040,0.0
REGION,BFACOADIP00X,2040,0.0
REGION,BFACOAIMP00X,2040,0.0
REGION,BFACOAPRP00X,2040,0.0
REGION,BFACOASCC01N,2040,0.0
REGION,BFACOASCP01N,2036,66.28043580014048
REGION,BFACOASCP01N,2037,83.77909695107131
REGION,BFACOASCP01N,2038,52.80135123634263
REGION,BFACOASCP01N,2039,118.56698333234816
REGION,BFACOASCP01N,2040,135.75176874363257
REGION,BFACOASCP01O,2040,0.0
REGION,BFAEL1TRP00X,2016,6.708327118988483
REGION,BFAEL1TRP00X,2017,7.270138409781806
REGION,BFAEL1TRP00X,2021,25.482129267594612
REGION,BFAEL1TRP00X,2022,25.422312062741824
REGION,BFAEL1TRP00X,2023,25.362705234927684
REGION,BFAEL1TRP00X,2024,25.303307798780306
REGION,BFAEL1TRP00X,2025,25.244118774689532
REGION,BFAEL1TRP00X,2026,1.7512298899893908
REGION,BFAEL1TRP00X,2028,6.707458226330864
REGION,BFAEL1TRP00X,2029,6.349800044357332
REGION,BFAEL1TRP00X,2031,12.34087929568333
REGION,BFAEL1TRP00X,2032,15.39204572068146
REGION,BFAEL1TRP00X,2033,12.717158769897615
REGION,BFAEL1TRP00X,2034,13.028806168097681
REGION,BFAEL1TRP00X,2035,11.580784338160539
REGION,BFAEL1TRP00X,2036,8.098546490624605
REGION,BFAEL1TRP00X,2037,14.632003175173038
REGION,BFAEL1TRP00X,2038,14.981301268975212
REGION,BFAEL1TRP00X,2039,15.344638174625958
REGION,BFAEL1TRP00X,2040,16.50658626928485
REGION,BFAEL2DIP00X,2016,43.68499502942093
REGION,BFAEL2DIP00X,2017,47.34353968824291
REGION,BFAEL2DIP00X,2032,38.701303982914844
REGION,BFAEL2DIP00X,2033,36.418818865022864
REGION,BFAEL2DIP00X,2034,36.42390955499462
REGION,BFAEL2DIP00X,2035,24.88154525470159
REGION,BFAEL2DIP00X,2037,40.244920466279794
REGION,BFAEL2DIP00X,2038,40.11776810799416
REGION,BFAEL2DIP00X,2039,39.977152727067505
REGION,BFAEL2DIP00X,2040,44.9276693096063
REGION,BFAEL3DIP00X,2021,165.94102207163655
REGION,BFAEL3DIP00X,2022,165.55148915597547
REGION,BFAEL3DIP00X,2023,165.16332622712207
REGION,BFAEL3DIP00X,2024,164.77652686827653
REGION,BFAEL3DIP00X,2025,164.39108470016322
REGION,BFAEL3DIP00X,2026,164.0069933807707
REGION,BFAEL3DIP00X,2027,61.0581486990866
REGION,BFAEL3DIP00X,2028,60.91582201215203
REGION,BFAEL3DIP00X,2029,60.77399239162489
REGION,BFAEL3DIP00X,2030,60.63265752560787
REGION,BFAEL3DIP00X,2031,53.763253196215715
REGION,BFAEL3DIP00X,2032,56.10893573399165
REGION,BFAEL3DIP00X,2033,58.557034590471204
REGION,BFAEL3DIP00X,2034,61.112024504458674
REGION,BFAEL3DIP00X,2035,63.77857585074061
REGION,BFAEL3DIP00X,2036,66.56156319850251
REGION,BFAEL3DIP00X,2037,69.46607424458628
REGION,BFAEL3DIP00X,2038,72.4974191375406
REGION,BFAEL3DIP00X,2039,75.66114020993871
REGION,BFAEL3DIP00X,2040,78.96302213683241
REGION,BFAEL4DIP00X,2040,0.0
REGION,BFAELMLIBP00,2020,175.49862
REGION,BFAELMLIBP00,2040,0.0
REGION,BFAELNERBP00,2037,42.4587379409416
REGION,BFAELNERBP00,2038,73.715124035736
REGION,BFAELNERBP00,2039,9.903304899843427
REGION,BFAELNERBP00,2040,0.0
REGION,BFAGEOCVP01N,2040,0.0
REGION,BFAGEOCVP01O,2040,0.0
